Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.3 (lin64) Build 2405991 Thu Dec  6 23:36:41 MST 2018
| Date         : Mon Dec  5 21:06:21 2022
| Host         : ubuntu running 64-bit Ubuntu 16.04.7 LTS
| Command      : report_high_fanout_nets -file /home/wxrqw/rocket/freedom-configsty/builds/vc707-u500devkit/obj/report/fanout.txt -timing -load_types -max_nets 25
| Design       : VC707PCIeShell
| Device       : xc7vx485t
-------------------------------------------------------------------------------------------------------------------------------------------------------------------

High Fan-out Nets Information

1. LoadTypewise Fanout Summary
------------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-----------------------------+-----------------------------+-----------------------------+-----------------------------+
|                                                                                                                                                                     |        |             |                 |                 |         Clock Enable        |          Set/Reset          |         Data & Other        |            Clock            |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| Net Name                                                                                                                                                            | Fanout | Driver Type | Worst Slack(ns) | Worst Delay(ns) | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| topDesign/topMod/debug_1/dmOuter/dmOuter/DMCONTROL/reg_1/q_reg_1                                                                                                    |   5256 | LUT2        |           5.269 |          13.303 |     0 |  0 |              0 |  5011 |  2 |              0 |   243 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/reg_63                                                                                                                    |   3776 | LUT4        |           7.800 |           5.142 |     0 |  0 |              0 |  3776 |  0 |              0 |     0 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/debug_1/dmOuter/dmOuter/DMCONTROL/reg_1/rc0_rst_reg[0]                                                                                             |   1795 | LUT2        |           7.579 |           4.791 |     0 |  0 |              0 |  1792 |  0 |              0 |     3 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6047[0]                                                                                                              |   1184 | RAMB36E1    |           5.016 |           5.009 |     0 |  0 |              0 |     0 |  0 |              0 |  1184 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6047[1]                                                                                                              |   1181 | RAMB36E1    |           4.975 |           4.653 |     0 |  0 |              0 |     0 |  0 |              0 |  1181 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6050[0]                                                                                                              |   1132 | RAMB36E1    |           5.389 |           6.005 |     0 |  0 |              0 |     0 |  0 |              0 |  1132 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_GEN_6050[1]                                                                                                              |   1105 | RAMB36E1    |           5.416 |           5.791 |     0 |  0 |              0 |     0 |  0 |              0 |  1105 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/reg_46[63]_i_4_n_0                                                                                                        |   1069 | LUT6        |           6.954 |           4.529 |     0 |  0 |              0 |     0 |  0 |              0 |  1069 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_T_836[0]                                                                                                                 |   1034 | RAMB36E1    |           4.783 |           2.895 |     0 |  0 |              0 |     0 |  0 |              0 |  1034 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/_T_836[1]                                                                                                                 |   1030 | RAMB36E1    |           4.597 |           3.597 |     0 |  0 |              0 |     0 |  0 |              0 |  1030 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/m_res_en[0]                                                                                                               |   1029 | RAMB36E1    |           4.944 |           5.458 |     0 |  0 |              0 |     0 |  0 |              0 |  1029 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/tile/accumulator/co_core/m_res_en[1]                                                                                                               |   1029 | RAMB36E1    |           4.662 |           5.194 |     0 |  0 |              0 |     0 |  0 |              0 |  1029 |  0 |              0 |     0 |  0 |              0 |
| topDesign/topMod/mig/island/blackbox/u_vc707mig1gb_mig/u_memc_ui_top_axi/u_ui_top/ui_wr_data0/wdf_rdy_ns                                                            |    788 | LUT6        |           1.589 |           1.994 |   768 |  0 |              0 |     0 |  0 |              0 |    20 |  0 |              0 |     0 |  0 |              0 |
